iter	Passed	Remaining
402	2361	3498
403	2363	3486
404	2365	3475
405	2367	3463
406	2368	3451
407	2370	3439
408	2372	3428
409	2375	3418
410	2376	3406
411	2378	3394
412	2380	3382
413	2381	3370
414	2383	3359
415	2384	3347
416	2386	3336
417	2387	3324
418	2388	3312
419	2390	3301
420	2392	3289
421	2393	3278
422	2394	3266
423	2396	3254
424	2397	3243
425	2398	3231
426	2400	3221
427	2402	3211
428	2404	3200
429	2405	3188
430	2406	3177
431	2408	3166
432	2410	3156
433	2411	3145
434	2412	3133
435	2414	3122
436	2415	3112
437	2417	3101
438	2419	3092
439	2421	3081
440	2422	3070
441	2424	3060
442	2425	3049
443	2427	3040
444	2429	3030
445	2431	3020
446	2432	3009
447	2434	2999
448	2437	2990
449	2438	2980
450	2440	2970
451	2442	2960
452	2443	2950
453	2446	2941
454	2447	2932
455	2449	2922
456	2450	2912
457	2452	2902
458	2454	2893
459	2456	2883
460	2458	2873
461	2459	2864
462	2461	2854
463	2462	2845
464	2465	2836
465	2466	2826
466	2468	2817
467	2469	2807
468	2473	2799
469	2474	2790
470	2476	2781
471	2477	2771
472	2479	2762
473	2481	2753
474	2483	2744
475	2485	2735
476	2486	2726
477	2488	2717
478	2489	2707
479	2491	2699
480	2493	2690
481	2494	2681
482	2496	2671
483	2497	2662
484	2502	2657
485	2504	2648
486	2506	2639
487	2507	2631
488	2510	2623
489	2511	2614
490	2514	2606
491	2516	2598
492	2519	2590
493	2521	2582
494	2522	2573
495	2524	2565
496	2527	2557
497	2529	2549
498	2530	2540
499	2531	2531
500	2533	2523
501	2535	2514
502	2537	2506
503	2538	2498
504	2539	2489
505	2542	2482
506	2546	2475
507	2548	2468
508	2550	2460
509	2554	2454
510	2556	2446
511	2558	2439
512	2560	2430
513	2563	2423
514	2564	2415
515	2566	2407
516	2567	2398
517	2568	2390
518	2570	2382
519	2572	2374
520	2574	2366
521	2575	2358
522	2577	2350
523	2578	2342
524	2581	2335
525	2582	2327
526	2585	2320
527	2586	2312
528	2588	2304
529	2590	2297
530	2592	2289
531	2593	2281
532	2595	2274
533	2596	2266
534	2599	2259
535	2601	2252
536	2603	2244
537	2604	2236
538	2606	2229
539	2608	2222
540	2610	2214
541	2611	2206
542	2613	2199
543	2614	2191
544	2616	2184
545	2618	2177
546	2619	2169
547	2620	2161
548	2621	2153
549	2623	2146
550	2624	2138
551	2626	2132
552	2628	2124
553	2629	2116
554	2630	2109
555	2632	2101
556	2634	2095
557	2635	2087
558	2637	2080
559	2638	2072
560	2639	2065
561	2640	2058
562	2642	2051
563	2644	2044
564	2645	2037
565	2647	2029
566	2648	2022
567	2649	2015
568	2651	2008
569	2653	2001
570	2655	1995
571	2657	1988
572	2658	1981
573	2659	1974
574	2661	1967
575	2663	1960
576	2664	1953
577	2665	1946
578	2667	1939
579	2668	1932
580	2670	1925
581	2671	1918
582	2673	1912
583	2675	1906
584	2677	1899
585	2679	1892
586	2681	1886
587	2682	1879
588	2683	1872
589	2685	1865
590	2686	1859
591	2688	1852
592	2689	1846
593	2691	1839
594	2692	1832
595	2693	1825
596	2695	1819
597	2697	1813
598	2698	1806
599	2699	1799
600	2701	1793
601	2702	1786
602	2703	1779
603	2705	1773
604	2707	1767
605	2708	1760
606	2710	1754
607	2711	1748
608	2712	1741
609	2715	1735
610	2716	1729
611	2717	1722
612	2718	1716
613	2720	1710
614	2721	1703
615	2723	1697
616	2725	1691
617	2727	1685
618	2728	1679
619	2729	1673
620	2731	1666
621	2733	1661
622	2734	1654
623	2735	1648
624	2737	1642
625	2739	1636
626	2740	1630
627	2743	1624
628	2744	1618
629	2746	1613
630	2748	1607
631	2751	1602
632	2753	1596
633	2755	1590
634	2756	1584
635	2758	1578
636	2760	1572
637	2761	1566
638	2762	1560
639	2764	1554
640	2765	1548
641	2767	1543
642	2769	1537
643	2770	1531
644	2771	1525
645	2772	1519
646	2774	1513
647	2775	1507
648	2777	1502
649	2779	1496
650	2780	1490
651	2781	1484
652	2783	1478
653	2784	1473
654	2786	1467
655	2787	1461
656	2789	1456
657	2790	1450
658	2791	1444
659	2793	1438
660	2795	1433
661	2797	1428
662	2798	1422
663	2799	1416
664	2800	1411
665	2802	1405
666	2804	1399
667	2805	1394
668	2806	1388
669	2808	1383
670	2809	1377
671	2811	1372
672	2813	1367
673	2815	1361
674	2816	1356
675	2817	1350
676	2818	1344
677	2820	1339
678	2822	1334
679	2823	1328
680	2825	1323
681	2826	1317
682	2827	1312
683	2828	1306
684	2830	1301
685	2832	1296
686	2833	1290
687	2834	1285
688	2836	1280
689	2838	1275
690	2840	1270
691	2841	1264
692	2842	1259
693	2844	1254
694	2845	1248
695	2846	1243
696	2847	1238
697	2849	1232
698	2851	1227
699	2852	1222
700	2854	1217
701	2855	1212
702	2856	1206
703	2858	1201
704	2860	1196
705	2860	1191
706	2862	1186
707	2863	1180
708	2864	1175
709	2867	1171
710	2869	1166
